index,tsi_pert_0,HMI_img,timestamp
0,-0.0916000000214848,hmi.Ic_720s.20110101_120000_TAI.1.continuum.npy,1293883200.0
1,-0.1147000000214842,hmi.Ic_720s.20110102_000000_TAI.1.continuum.npy,1293926400.0
2,-0.1378000000056046,hmi.Ic_720s.20110102_120000_TAI.1.continuum.npy,1293969600.0
3,-0.1438500000055639,hmi.Ic_720s.20110103_000000_TAI.1.continuum.npy,1294012800.0
4,-0.1499000000099935,hmi.Ic_720s.20110103_120000_TAI.1.continuum.npy,1294056000.0
5,-0.1607500000099984,hmi.Ic_720s.20110104_000000_TAI.1.continuum.npy,1294099200.0
6,-0.1715999999895608,hmi.Ic_720s.20110104_120000_TAI.1.continuum.npy,1294142400.0
7,-0.1604999999896186,hmi.Ic_720s.20110105_000000_TAI.1.continuum.npy,1294185600.0
8,-0.1493999999942865,hmi.Ic_720s.20110105_120000_TAI.1.continuum.npy,1294228800.0
9,-0.1432499999942387,hmi.Ic_720s.20110106_000000_TAI.1.continuum.npy,1294272000.0
10,-0.1370999999835738,hmi.Ic_720s.20110106_120000_TAI.1.continuum.npy,1294315200.0
11,-0.1195499999836591,hmi.Ic_720s.20110107_000000_TAI.1.continuum.npy,1294358400.0
12,-0.1019999999782496,hmi.Ic_720s.20110107_120000_TAI.1.continuum.npy,1294401600.0
13,-0.0785499999782243,hmi.Ic_720s.20110108_000000_TAI.1.continuum.npy,1294444800.0
14,-0.0550999999837869,hmi.Ic_720s.20110108_120000_TAI.1.continuum.npy,1294488000.0
15,-0.0376499999837335,hmi.Ic_720s.20110109_000000_TAI.1.continuum.npy,1294531200.0
16,-0.0202000000095242,hmi.Ic_720s.20110109_120000_TAI.1.continuum.npy,1294574400.0
17,-0.0305000000095535,hmi.Ic_720s.20110110_000000_TAI.1.continuum.npy,1294617600.0
18,-0.0408000000175921,hmi.Ic_720s.20110110_120000_TAI.1.continuum.npy,1294660800.0
19,-0.0597000000176227,hmi.Ic_720s.20110111_000000_TAI.1.continuum.npy,1294704000.0
20,-0.0786000000258955,hmi.Ic_720s.20110111_120000_TAI.1.continuum.npy,1294747200.0
21,-0.1063500000258645,hmi.Ic_720s.20110112_000000_TAI.1.continuum.npy,1294790400.0
22,-0.1341000000220152,hmi.Ic_720s.20110112_120000_TAI.1.continuum.npy,1294833600.0
23,-0.1577500000219903,hmi.Ic_720s.20110113_000000_TAI.1.continuum.npy,1294876800.0
24,-0.181400000012559,hmi.Ic_720s.20110113_120000_TAI.1.continuum.npy,1294920000.0
25,-0.2017250000125729,hmi.Ic_720s.20110114_060000_TAI.1.continuum.npy,1294984800.0
26,-0.2072249999976191,hmi.Ic_720s.20110114_180000_TAI.1.continuum.npy,1295028000.0
27,-0.2046749999976908,hmi.Ic_720s.20110115_060000_TAI.1.continuum.npy,1295071200.0
28,-0.192649999980048,hmi.Ic_720s.20110115_180000_TAI.1.continuum.npy,1295114400.0
29,-0.171149999979988,hmi.Ic_720s.20110116_060000_TAI.1.continuum.npy,1295157600.0
30,-0.1537749999876559,hmi.Ic_720s.20110116_180000_TAI.1.continuum.npy,1295200800.0
31,-0.140524999987685,hmi.Ic_720s.20110117_060000_TAI.1.continuum.npy,1295244000.0
32,-0.1346750000014591,hmi.Ic_720s.20110117_180000_TAI.1.continuum.npy,1295287200.0
33,-0.1362250000014111,hmi.Ic_720s.20110118_060000_TAI.1.continuum.npy,1295330400.0
34,-0.1502250000246111,hmi.Ic_720s.20110118_180000_TAI.1.continuum.npy,1295373600.0
35,-0.1766750000246791,hmi.Ic_720s.20110119_060000_TAI.1.continuum.npy,1295416800.0
36,-0.206025000030103,hmi.Ic_720s.20110119_180000_TAI.1.continuum.npy,1295460000.0
37,-0.2382750000300793,hmi.Ic_720s.20110120_060000_TAI.1.continuum.npy,1295503200.0
38,-0.2792000000462155,hmi.Ic_720s.20110120_200000_TAI.1.continuum.npy,1295553600.000013
39,-0.3164000000461999,hmi.Ic_720s.20110121_080000_TAI.1.continuum.npy,1295596800.000013
40,-0.3610666667267792,hmi.Ic_720s.20110121_200000_TAI.1.continuum.npy,1295640000.000013
41,-0.4094666667267942,hmi.Ic_720s.20110122_080000_TAI.1.continuum.npy,1295683200.000013
42,-0.43383333334868,hmi.Ic_720s.20110122_200000_TAI.1.continuum.npy,1295726400.000013
43,-0.4461833333486494,hmi.Ic_720s.20110123_080000_TAI.1.continuum.npy,1295769600.000013
44,-0.4327666666339838,hmi.Ic_720s.20110123_200000_TAI.1.continuum.npy,1295812800.000013
45,-0.4064666666339918,hmi.Ic_720s.20110124_080000_TAI.1.continuum.npy,1295856000.000013
46,-0.3729666666205771,hmi.Ic_720s.20110124_200000_TAI.1.continuum.npy,1295899200.000013
47,-0.3358666666205676,hmi.Ic_720s.20110125_080000_TAI.1.continuum.npy,1295942400.000013
48,-0.3001666666231934,hmi.Ic_720s.20110125_200000_TAI.1.continuum.npy,1295985600.000013
49,-0.2651666666232252,hmi.Ic_720s.20110126_080000_TAI.1.continuum.npy,1296028800.000013
50,-0.2500666666602548,hmi.Ic_720s.20110126_200000_TAI.1.continuum.npy,1296072000.000013
51,-0.2449166666601833,hmi.Ic_720s.20110127_080000_TAI.1.continuum.npy,1296115200.000013
52,-0.2220583333159136,hmi.Ic_720s.20110128_051200_TAI.1.continuum.npy,1296191520.000011
53,-0.1256633333241553,hmi.Ic_720s.20110131_171200_TAI.1.continuum.npy,1296493920.000011
54,-0.1179633333241555,hmi.Ic_720s.20110201_051200_TAI.1.continuum.npy,1296537120.000011
55,-0.1062766666466514,hmi.Ic_720s.20110201_171200_TAI.1.continuum.npy,1296580320.000011
56,-0.0893766666466873,hmi.Ic_720s.20110202_051200_TAI.1.continuum.npy,1296623520.000011
57,-0.0769833333256602,hmi.Ic_720s.20110202_171200_TAI.1.continuum.npy,1296666720.000011
58,-0.0704833333257002,hmi.Ic_720s.20110203_051200_TAI.1.continuum.npy,1296709920.000011
59,-0.0573099999741908,hmi.Ic_720s.20110203_171200_TAI.1.continuum.npy,1296753120.000011
60,-0.0354099999741175,hmi.Ic_720s.20110204_051200_TAI.1.continuum.npy,1296796320.000011
61,-0.019944999991622,hmi.Ic_720s.20110204_171200_TAI.1.continuum.npy,1296839520.000011
62,-0.0128949999916864,hmi.Ic_720s.20110205_051200_TAI.1.continuum.npy,1296882720.000011
63,-0.0004716666437589,hmi.Ic_720s.20110205_171200_TAI.1.continuum.npy,1296925920.000011
64,0.0189783333562472,hmi.Ic_720s.20110206_051200_TAI.1.continuum.npy,1296969120.000011
65,0.0345933333458399,hmi.Ic_720s.20110206_171200_TAI.1.continuum.npy,1297012320.000011
66,0.0451933333459075,hmi.Ic_720s.20110207_051200_TAI.1.continuum.npy,1297055520.000011
67,0.0456749999850254,hmi.Ic_720s.20110207_171200_TAI.1.continuum.npy,1297098720.000011
68,0.032924999984929,hmi.Ic_720s.20110208_051200_TAI.1.continuum.npy,1297141920.000011
69,0.0160366666402868,hmi.Ic_720s.20110208_171200_TAI.1.continuum.npy,1297185120.000011
70,-0.006263333359686,hmi.Ic_720s.20110209_051200_TAI.1.continuum.npy,1297228320.000011
71,-0.0229733333444649,hmi.Ic_720s.20110209_171200_TAI.1.continuum.npy,1297271520.000011
72,-0.0326866666766597,hmi.Ic_720s.20110210_053600_TAI.1.continuum.npy,1297316160.000005
73,-0.0397300000046455,hmi.Ic_720s.20110210_173600_TAI.1.continuum.npy,1297359360.000005
74,-0.0440800000045768,hmi.Ic_720s.20110211_053600_TAI.1.continuum.npy,1297402560.000005
75,-0.0484766666713216,hmi.Ic_720s.20110211_173600_TAI.1.continuum.npy,1297445760.000005
76,-0.0529266666713414,hmi.Ic_720s.20110212_053600_TAI.1.continuum.npy,1297488960.000005
